DISTRICT,CNTYNAME,COUNTY,DFLALTED,DFLCHART,DISTNAME,REGION
"'001902","ANDERSON","'001","N","N","CAYUGA ISD","'07"
"'001903","ANDERSON","'001","N","N","ELKHART ISD","'07"
"'001904","ANDERSON","'001","N","N","FRANKSTON ISD","'07"
"'001906","ANDERSON","'001","N","N","NECHES ISD","'07"
"'001907","ANDERSON","'001","N","N","PALESTINE ISD","'07"
"'001908","ANDERSON","'001","N","N","WESTWOOD ISD","'07"
"'001909","ANDERSON","'001","N","N","SLOCUM ISD","'07"
"'002901","ANDREWS","'002","N","N","ANDREWS ISD","'18"
"'003801","ANGELINA","'003","N","Y","PINEYWOODS COMMUNITY ACADEMY","'07"
"'003902","ANGELINA","'003","N","N","HUDSON ISD","'07"
"'003903","ANGELINA","'003","N","N","LUFKIN ISD","'07"
"'003904","ANGELINA","'003","N","N","HUNTINGTON ISD","'07"
"'003905","ANGELINA","'003","N","N","DIBOLL ISD","'07"
"'003906","ANGELINA","'003","N","N","ZAVALLA ISD","'07"
"'003907","ANGELINA","'003","N","N","CENTRAL ISD","'07"
"'004901","ARANSAS","'004","N","N","ARANSAS COUNTY ISD","'02"
"'005901","ARCHER","'005","N","N","ARCHER CITY ISD","'09"
"'005902","ARCHER","'005","N","N","HOLLIDAY ISD","'09"
"'005904","ARCHER","'005","N","N","WINDTHORST ISD","'09"
"'006902","ARMSTRONG","'006","N","N","CLAUDE ISD","'16"
"'007901","ATASCOSA","'007","N","N","CHARLOTTE ISD","'20"
"'007902","ATASCOSA","'007","N","N","JOURDANTON ISD","'20"
"'007904","ATASCOSA","'007","N","N","LYTLE ISD","'20"
"'007905","ATASCOSA","'007","N","N","PLEASANTON ISD","'20"
"'007906","ATASCOSA","'007","N","N","POTEET ISD","'20"
"'008901","AUSTIN","'008","N","N","BELLVILLE ISD","'06"
"'008902","AUSTIN","'008","N","N","SEALY ISD","'06"
"'008903","AUSTIN","'008","N","N","BRAZOS ISD","'06"
"'009901","BAILEY","'009","N","N","MULESHOE ISD","'17"
"'010901","BANDERA","'010","N","N","MEDINA ISD","'20"
"'010902","BANDERA","'010","N","N","BANDERA ISD","'20"
"'011901","BASTROP","'011","N","N","BASTROP ISD","'13"
"'011902","BASTROP","'011","N","N","ELGIN ISD","'13"
"'011904","BASTROP","'011","N","N","SMITHVILLE ISD","'13"
"'011905","BASTROP","'011","N","N","MCDADE ISD","'13"
"'012901","BAYLOR","'012","N","N","SEYMOUR ISD","'09"
"'013801","BEE","'013","N","Y","ST MARY'S ACADEMY CHARTER SCHOOL","'02"
"'013901","BEE","'013","N","N","BEEVILLE ISD","'02"
"'013902","BEE","'013","N","N","PAWNEE ISD","'02"
"'013903","BEE","'013","N","N","PETTUS ISD","'02"
"'013905","BEE","'013","N","N","SKIDMORE-TYNAN ISD","'02"
"'014801","BELL","'014","Y","Y","RICHARD MILBURN ALTER HIGH SCHOOL","'20"
"'014803","BELL","'014","N","Y","PRIORITY CHARTER SCHOOLS","'12"
"'014804","BELL","'014","N","Y","ORENDA CHARTER SCHOOL","'12"
"'014901","BELL","'014","N","N","ACADEMY ISD","'12"
"'014902","BELL","'014","N","N","BARTLETT ISD","'13"
"'014903","BELL","'014","N","N","BELTON ISD","'12"
"'014905","BELL","'014","N","N","HOLLAND ISD","'12"
"'014906","BELL","'014","N","N","KILLEEN ISD","'12"
"'014907","BELL","'014","N","N","ROGERS ISD","'12"
"'014908","BELL","'014","N","N","SALADO ISD","'12"
"'014909","BELL","'014","N","N","TEMPLE ISD","'12"
"'014910","BELL","'014","N","N","TROY ISD","'12"
"'015801","BEXAR","'015","Y","Y","POR VIDA ACADEMY","'20"
"'015802","BEXAR","'015","N","Y","GEORGE GERVIN ACADEMY","'20"
"'015805","BEXAR","'015","N","Y","NEW FRONTIERS PUBLIC SCHOOLS INC","'20"
"'015806","BEXAR","'015","N","Y","SCHOOL OF EXCELLENCE IN EDUCATION","'20"
"'015807","BEXAR","'015","N","Y","SOUTHWEST PREPARATORY SCHOOL","'20"
"'015808","BEXAR","'015","N","Y","INSPIRE ACADEMIES","'20"
"'015809","BEXAR","'015","N","Y","BEXAR COUNTY ACADEMY","'20"
"'015814","BEXAR","'015","Y","Y","POSITIVE SOLUTIONS CHARTER SCHOOL","'20"
"'015815","BEXAR","'015","N","Y","HERITAGE ACADEMY","'20"
"'015822","BEXAR","'015","N","Y","JUBILEE ACADEMIES","'20"
"'015825","BEXAR","'015","N","Y","LIGHTHOUSE PUBLIC SCHOOLS","'20"
"'015827","BEXAR","'015","N","Y","SCHOOL OF SCIENCE AND TECHNOLOGY","'20"
"'015828","BEXAR","'015","N","Y","HARMONY SCIENCE ACAD (SAN ANTONIO)","'20"
"'015830","BEXAR","'015","N","Y","BROOKS ACADEMIES OF TEXAS","'20"
"'015831","BEXAR","'015","N","Y","SCHOOL OF SCIENCE AND TECHNOLOGY D","'20"
"'015833","BEXAR","'015","N","Y","HENRY FORD ACADEMY ALAMEDA SCHOOL","'20"
"'015834","BEXAR","'015","N","Y","BASIS TEXAS","'20"
"'015835","BEXAR","'015","N","Y","GREAT HEARTS TEXAS","'20"
"'015836","BEXAR","'015","N","Y","ELEANOR KOLITZ HEBREW LANGUAGE ACA","'20"
"'015838","BEXAR","'015","N","Y","COMPASS ROSE ACADEMY","'20"
"'015839","BEXAR","'015","N","Y","PROMESA ACADEMY CHARTER SCHOOL","'20"
"'015840","BEXAR","'015","N","Y","SAN ANTONIO PREPARATORY CHARTER SC","'20"
"'015841","BEXAR","'015","N","Y","THE GATHERING PLACE","'20"
"'015901","BEXAR","'015","N","N","ALAMO HEIGHTS ISD","'20"
"'015904","BEXAR","'015","N","N","HARLANDALE ISD","'20"
"'015905","BEXAR","'015","N","N","EDGEWOOD ISD","'20"
"'015906","BEXAR","'015","N","N","RANDOLPH FIELD ISD","'20"
"'015907","BEXAR","'015","N","N","SAN ANTONIO ISD","'20"
"'015908","BEXAR","'015","N","N","SOUTH SAN ANTONIO ISD","'20"
"'015909","BEXAR","'015","N","N","SOMERSET ISD","'20"
"'015910","BEXAR","'015","N","N","NORTH EAST ISD","'20"
"'015911","BEXAR","'015","N","N","EAST CENTRAL ISD","'20"
"'015912","BEXAR","'015","N","N","SOUTHWEST ISD","'20"
"'015913","BEXAR","'015","N","N","LACKLAND ISD","'20"
"'015914","BEXAR","'015","N","N","FT SAM HOUSTON ISD","'20"
"'015915","BEXAR","'015","N","N","NORTHSIDE ISD","'20"
"'015916","BEXAR","'015","N","N","JUDSON ISD","'20"
"'015917","BEXAR","'015","N","N","SOUTHSIDE ISD","'20"
"'016901","BLANCO","'016","N","N","JOHNSON CITY ISD","'13"
"'016902","BLANCO","'016","N","N","BLANCO ISD","'13"
"'017901","BORDEN","'017","N","N","BORDEN COUNTY ISD","'17"
"'018901","BOSQUE","'018","N","N","CLIFTON ISD","'12"
"'018902","BOSQUE","'018","N","N","MERIDIAN ISD","'12"
"'018903","BOSQUE","'018","N","N","MORGAN ISD","'12"
"'018904","BOSQUE","'018","N","N","VALLEY MILLS ISD","'12"
"'018905","BOSQUE","'018","N","N","WALNUT SPRINGS ISD","'12"
"'018906","BOSQUE","'018","N","N","IREDELL ISD","'12"
"'018907","BOSQUE","'018","N","N","KOPPERL ISD","'12"
"'018908","BOSQUE","'018","N","N","CRANFILLS GAP ISD","'12"
"'019901","BOWIE","'019","N","N","DEKALB ISD","'08"
"'019902","BOWIE","'019","N","N","HOOKS ISD","'08"
"'019903","BOWIE","'019","N","N","MAUD ISD","'08"
"'019905","BOWIE","'019","N","N","NEW BOSTON ISD","'08"
"'019906","BOWIE","'019","N","N","REDWATER ISD","'08"
"'019907","BOWIE","'019","N","N","TEXARKANA ISD","'08"
"'019908","BOWIE","'019","N","N","LIBERTY-EYLAU ISD","'08"
"'019909","BOWIE","'019","N","N","SIMMS ISD","'08"
"'019910","BOWIE","'019","N","N","MALTA ISD","'08"
"'019911","BOWIE","'019","N","N","RED LICK ISD","'08"
"'019912","BOWIE","'019","N","N","PLEASANT GROVE ISD","'08"
"'019913","BOWIE","'019","N","N","HUBBARD ISD","'08"
"'019914","BOWIE","'019","N","N","LEARY ISD","'08"
"'020901","BRAZORIA","'020","N","N","ALVIN ISD","'04"
"'020902","BRAZORIA","'020","N","N","ANGLETON ISD","'04"
"'020904","BRAZORIA","'020","N","N","DANBURY ISD","'04"
"'020905","BRAZORIA","'020","N","N","BRAZOSPORT ISD","'04"
"'020906","BRAZORIA","'020","N","N","SWEENY ISD","'04"
"'020907","BRAZORIA","'020","N","N","COLUMBIA-BRAZORIA ISD","'04"
"'020908","BRAZORIA","'020","N","N","PEARLAND ISD","'04"
"'020910","BRAZORIA","'020","N","N","DAMON ISD","'04"
"'021803","BRAZOS","'021","N","Y","BRAZOS SCHOOL FOR INQUIRY & CREATI","'06"
"'021805","BRAZOS","'021","N","Y","ARROW ACADEMY","'06"
"'021901","BRAZOS","'021","N","N","COLLEGE STATION ISD","'06"
"'021902","BRAZOS","'021","N","N","BRYAN ISD","'06"
"'022004","BREWSTER","'022","N","N","TERLINGUA CSD","'18"
"'022901","BREWSTER","'022","N","N","ALPINE ISD","'18"
"'022902","BREWSTER","'022","N","N","MARATHON ISD","'18"
"'022903","BREWSTER","'022","N","N","SAN VICENTE ISD","'18"
"'023902","BRISCOE","'023","N","N","SILVERTON ISD","'16"
"'024901","BROOKS","'024","N","N","BROOKS COUNTY ISD","'01"
"'025901","BROWN","'025","N","N","BANGS ISD","'15"
"'025902","BROWN","'025","N","N","BROWNWOOD ISD","'15"
"'025904","BROWN","'025","N","N","BLANKET ISD","'15"
"'025905","BROWN","'025","N","N","MAY ISD","'15"
"'025906","BROWN","'025","N","N","ZEPHYR ISD","'15"
"'025908","BROWN","'025","N","N","BROOKESMITH ISD","'15"
"'025909","BROWN","'025","N","N","EARLY ISD","'15"
"'026901","BURLESON","'026","N","N","CALDWELL ISD","'06"
"'026902","BURLESON","'026","N","N","SOMERVILLE ISD","'06"
"'026903","BURLESON","'026","N","N","SNOOK ISD","'06"
"'027903","BURNET","'027","N","N","BURNET CISD","'13"
"'027904","BURNET","'027","N","N","MARBLE FALLS ISD","'13"
"'028902","CALDWELL","'028","N","N","LOCKHART ISD","'13"
"'028903","CALDWELL","'028","N","N","LULING ISD","'13"
"'028906","CALDWELL","'028","N","N","PRAIRIE LEA ISD","'13"
"'029901","CALHOUN","'029","N","N","CALHOUN COUNTY ISD","'03"
"'030901","CALLAHAN","'030","N","N","CROSS PLAINS ISD","'14"
"'030902","CALLAHAN","'030","N","N","CLYDE CISD","'14"
"'030903","CALLAHAN","'030","N","N","BAIRD ISD","'14"
"'030906","CALLAHAN","'030","N","N","EULA ISD","'14"
"'031901","CAMERON","'031","N","N","BROWNSVILLE ISD","'01"
"'031903","CAMERON","'031","N","N","HARLINGEN CISD","'01"
"'031905","CAMERON","'031","N","N","LA FERIA ISD","'01"
"'031906","CAMERON","'031","N","N","LOS FRESNOS CISD","'01"
"'031909","CAMERON","'031","N","N","POINT ISABEL ISD","'01"
"'031911","CAMERON","'031","N","N","RIO HONDO ISD","'01"
"'031912","CAMERON","'031","N","N","SAN BENITO CISD","'01"
"'031913","CAMERON","'031","N","N","SANTA MARIA ISD","'01"
"'031914","CAMERON","'031","N","N","SANTA ROSA ISD","'01"
"'031916","CAMERON","'031","N","N","SOUTH TEXAS ISD","'01"
"'032902","CAMP","'032","N","N","PITTSBURG ISD","'08"
"'033901","CARSON","'033","N","N","GROOM ISD","'16"
"'033902","CARSON","'033","N","N","PANHANDLE ISD","'16"
"'033904","CARSON","'033","N","N","WHITE DEER ISD","'16"
"'034901","CASS","'034","N","N","ATLANTA ISD","'08"
"'034902","CASS","'034","N","N","AVINGER ISD","'08"
"'034903","CASS","'034","N","N","HUGHES SPRINGS ISD","'08"
"'034905","CASS","'034","N","N","LINDEN-KILDARE CISD","'08"
"'034906","CASS","'034","N","N","MCLEOD ISD","'08"
"'034907","CASS","'034","N","N","QUEEN CITY ISD","'08"
"'034909","CASS","'034","N","N","BLOOMBURG ISD","'08"
"'035901","CASTRO","'035","N","N","DIMMITT ISD","'16"
"'035902","CASTRO","'035","N","N","HART ISD","'16"
"'035903","CASTRO","'035","N","N","NAZARETH ISD","'16"
"'036901","CHAMBERS","'036","N","N","ANAHUAC ISD","'04"
"'036902","CHAMBERS","'036","N","N","BARBERS HILL ISD","'04"
"'036903","CHAMBERS","'036","N","N","EAST CHAMBERS ISD","'05"
"'037901","CHEROKEE","'037","N","N","ALTO ISD","'07"
"'037904","CHEROKEE","'037","N","N","JACKSONVILLE ISD","'07"
"'037907","CHEROKEE","'037","N","N","RUSK ISD","'07"
"'037908","CHEROKEE","'037","N","N","NEW SUMMERFIELD ISD","'07"
"'037909","CHEROKEE","'037","N","N","WELLS ISD","'07"
"'038901","CHILDRESS","'038","N","N","CHILDRESS ISD","'16"
"'039902","CLAY","'039","N","N","HENRIETTA ISD","'09"
"'039903","CLAY","'039","N","N","PETROLIA CISD","'09"
"'039904","CLAY","'039","N","N","BELLEVUE ISD","'09"
"'039905","CLAY","'039","N","N","MIDWAY ISD","'09"
"'040901","COCHRAN","'040","N","N","MORTON ISD","'17"
"'040902","COCHRAN","'040","N","N","WHITEFACE CISD","'17"
"'041901","COKE","'041","N","N","BRONTE ISD","'15"
"'041902","COKE","'041","N","N","ROBERT LEE ISD","'15"
"'042901","COLEMAN","'042","N","N","COLEMAN ISD","'15"
"'042903","COLEMAN","'042","N","N","SANTA ANNA ISD","'15"
"'042905","COLEMAN","'042","N","N","PANTHER CREEK CISD","'15"
"'043801","COLLIN","'043","N","Y","IMAGINE INTERNATIONAL ACADEMY OF N","'10"
"'043802","COLLIN","'043","N","Y","LONE STAR LANGUAGE ACADEMY","'10"
"'043901","COLLIN","'043","N","N","ALLEN ISD","'10"
"'043902","COLLIN","'043","N","N","ANNA ISD","'10"
"'043903","COLLIN","'043","N","N","CELINA ISD","'10"
"'043904","COLLIN","'043","N","N","FARMERSVILLE ISD","'10"
"'043905","COLLIN","'043","N","N","FRISCO ISD","'10"
"'043907","COLLIN","'043","N","N","MCKINNEY ISD","'10"
"'043908","COLLIN","'043","N","N","MELISSA ISD","'10"
"'043910","COLLIN","'043","N","N","PLANO ISD","'10"
"'043911","COLLIN","'043","N","N","PRINCETON ISD","'10"
"'043912","COLLIN","'043","N","N","PROSPER ISD","'10"
"'043914","COLLIN","'043","N","N","WYLIE ISD","'10"
"'043917","COLLIN","'043","N","N","BLUE RIDGE ISD","'10"
"'043918","COLLIN","'043","N","N","COMMUNITY ISD","'10"
"'043919","COLLIN","'043","N","N","LOVEJOY ISD","'10"
"'044902","COLLINGSWORTH","'044","N","N","WELLINGTON ISD","'16"
"'045902","COLORADO","'045","N","N","COLUMBUS ISD","'03"
"'045903","COLORADO","'045","N","N","RICE CISD","'03"
"'045905","COLORADO","'045","N","N","WEIMAR ISD","'03"
"'046802","COMAL","'046","Y","Y","TRINITY CHARTER SCHOOL","'20"
"'046901","COMAL","'046","N","N","NEW BRAUNFELS ISD","'13"
"'046902","COMAL","'046","N","N","COMAL ISD","'20"
"'047901","COMANCHE","'047","N","N","COMANCHE ISD","'14"
"'047902","COMANCHE","'047","N","N","DE LEON ISD","'14"
"'047903","COMANCHE","'047","N","N","GUSTINE ISD","'14"
"'047905","COMANCHE","'047","N","N","SIDNEY ISD","'14"
"'048901","CONCHO","'048","N","N","EDEN CISD","'15"
"'048903","CONCHO","'048","N","N","PAINT ROCK ISD","'15"
"'049901","COOKE","'049","N","N","GAINESVILLE ISD","'11"
"'049902","COOKE","'049","N","N","MUENSTER ISD","'11"
"'049903","COOKE","'049","N","N","VALLEY VIEW ISD","'11"
"'049905","COOKE","'049","N","N","CALLISBURG ISD","'11"
"'049906","COOKE","'049","N","N","ERA ISD","'11"
"'049907","COOKE","'049","N","N","LINDSAY ISD","'11"
"'049908","COOKE","'049","N","N","WALNUT BEND ISD","'11"
"'049909","COOKE","'049","N","N","SIVELLS BEND ISD","'11"
"'050901","CORYELL","'050","N","N","EVANT ISD","'12"
"'050902","CORYELL","'050","N","N","GATESVILLE ISD","'12"
"'050904","CORYELL","'050","N","N","OGLESBY ISD","'12"
"'050909","CORYELL","'050","N","N","JONESBORO ISD","'12"
"'050910","CORYELL","'050","N","N","COPPERAS COVE ISD","'12"
"'051901","COTTLE","'051","N","N","PADUCAH ISD","'17"
"'052901","CRANE","'052","N","N","CRANE ISD","'18"
"'053001","CROCKETT","'053","N","N","CROCKETT COUNTY CONSOLIDATED CSD","'15"
"'054901","CROSBY","'054","N","N","CROSBYTON CISD","'17"
"'054902","CROSBY","'054","N","N","LORENZO ISD","'17"
"'054903","CROSBY","'054","N","N","RALLS ISD","'17"
"'055901","CULBERSON","'055","N","N","CULBERSON COUNTY-ALLAMOORE ISD","'18"
"'056901","DALLAM","'056","N","N","DALHART ISD","'16"
"'056902","DALLAM","'056","N","N","TEXLINE ISD","'16"
"'057802","DALLAS","'057","N","Y","PEGASUS SCHOOL OF LIBERAL ARTS AND","'10"
"'057803","DALLAS","'057","N","Y","UPLIFT EDUCATION","'10"
"'057804","DALLAS","'057","Y","Y","TEXANS CAN ACADEMIES","'10"
"'057805","DALLAS","'057","N","Y","LUMIN EDUCATION","'10"
"'057806","DALLAS","'057","N","Y","ADVANTAGE ACADEMY","'10"
"'057807","DALLAS","'057","N","Y","LIFE SCHOOL","'10"
"'057808","DALLAS","'057","N","Y","UNIVERSAL ACADEMY","'10"
"'057809","DALLAS","'057","N","Y","NOVA ACADEMY","'10"
"'057810","DALLAS","'057","N","Y","ACADEMY OF DALLAS","'10"
"'057813","DALLAS","'057","N","Y","TRINITY BASIN PREPARATORY","'10"
"'057814","DALLAS","'057","Y","Y","ACADEMY FOR ACADEMIC EXCELLENCE","'10"
"'057816","DALLAS","'057","N","Y","A W BROWN LEADERSHIP ACADEMY","'10"
"'057819","DALLAS","'057","N","Y","JEAN MASSIEU ACADEMY","'10"
"'057827","DALLAS","'057","N","Y","NOVA ACADEMY SOUTHEAST","'10"
"'057828","DALLAS","'057","Y","Y","WINFREE ACADEMY CHARTER SCHOOLS","'10"
"'057829","DALLAS","'057","N","Y","A+ ACADEMY","'10"
"'057830","DALLAS","'057","N","Y","INSPIRED VISION ACADEMY","'10"
"'057831","DALLAS","'057","N","Y","GATEWAY CHARTER ACADEMY","'10"
"'057833","DALLAS","'057","N","Y","EDUCATION CENTER INTERNATIONAL ACA","'10"
"'057834","DALLAS","'057","Y","Y","EVOLUTION ACADEMY CHARTER SCHOOL","'10"
"'057835","DALLAS","'057","N","Y","GOLDEN RULE CHARTER SCHOOL","'10"
"'057836","DALLAS","'057","N","Y","ST ANTHONY SCHOOL","'10"
"'057839","DALLAS","'057","N","Y","LA ACADEMIA DE ESTRELLAS","'10"
"'057840","DALLAS","'057","N","Y","RICHLAND COLLEGIATE HIGH SCHOOL","'10"
"'057841","DALLAS","'057","N","Y","CITYSCAPE SCHOOLS","'10"
"'057844","DALLAS","'057","N","Y","MANARA ACADEMY","'10"
"'057845","DALLAS","'057","N","Y","UME PREPARATORY ACADEMY","'10"
"'057846","DALLAS","'057","N","Y","LEGACY PREPARATORY","'10"
"'057847","DALLAS","'057","N","Y","VILLAGE TECH SCHOOLS","'10"
"'057848","DALLAS","'057","N","Y","INTERNATIONAL LEADERSHIP OF TEXAS","'10"
"'057850","DALLAS","'057","N","Y","PIONEER TECHNOLOGY & ARTS ACADEMY","'10"
"'057851","DALLAS","'057","N","Y","BRIDGEWAY PREPARATORY ACADEMY","'10"
"'057903","DALLAS","'057","N","N","CARROLLTON-FARMERS BRANCH ISD","'10"
"'057904","DALLAS","'057","N","N","CEDAR HILL ISD","'10"
"'057905","DALLAS","'057","N","N","DALLAS ISD","'10"
"'057906","DALLAS","'057","N","N","DESOTO ISD","'10"
"'057907","DALLAS","'057","N","N","DUNCANVILLE ISD","'10"
"'057909","DALLAS","'057","N","N","GARLAND ISD","'10"
"'057910","DALLAS","'057","N","N","GRAND PRAIRIE ISD","'10"
"'057911","DALLAS","'057","N","N","HIGHLAND PARK ISD","'10"
"'057912","DALLAS","'057","N","N","IRVING ISD","'10"
"'057913","DALLAS","'057","N","N","LANCASTER ISD","'10"
"'057914","DALLAS","'057","N","N","MESQUITE ISD","'10"
"'057916","DALLAS","'057","N","N","RICHARDSON ISD","'10"
"'057919","DALLAS","'057","N","N","SUNNYVALE ISD","'10"
"'057922","DALLAS","'057","N","N","COPPELL ISD","'10"
"'058902","DAWSON","'058","N","N","DAWSON ISD","'17"
"'058905","DAWSON","'058","N","N","KLONDIKE ISD","'17"
"'058906","DAWSON","'058","N","N","LAMESA ISD","'17"
"'058909","DAWSON","'058","N","N","SANDS CISD","'17"
"'059901","DEAF SMITH","'059","N","N","HEREFORD ISD","'16"
